2026-03-08 12:51:08,859 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9050 | proto=tcp | dur=-s
2026-03-08 12:51:08,861 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:34573 | proto=tcp | dur=-s
2026-03-08 12:51:08,863 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9002 | proto=tcp | dur=-s
2026-03-08 12:51:08,864 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:8022 | proto=tcp | dur=-s
2026-03-08 12:51:08,865 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:10621 | proto=tcp | dur=-s
2026-03-08 12:51:08,866 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5950 | proto=tcp | dur=-s
2026-03-08 12:51:08,866 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:6666 | proto=tcp | dur=-s
2026-03-08 12:51:08,867 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1169 | proto=tcp | dur=-s
2026-03-08 12:51:08,867 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2103 | proto=tcp | dur=-s
2026-03-08 12:51:08,868 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9502 | proto=tcp | dur=-s
2026-03-08 12:51:08,868 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:981 | proto=tcp | dur=-s
2026-03-08 12:51:08,869 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1524 | proto=tcp | dur=-s
2026-03-08 12:51:08,870 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2010 | proto=tcp | dur=-s
2026-03-08 12:51:08,871 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:6901 | proto=tcp | dur=-s
2026-03-08 12:51:08,872 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:10001 | proto=tcp | dur=-s
2026-03-08 12:51:08,873 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:7000 | proto=tcp | dur=-s
2026-03-08 12:51:08,874 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3986 | proto=tcp | dur=-s
2026-03-08 12:51:08,875 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2557 | proto=tcp | dur=-s
2026-03-08 12:51:08,876 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:444 | proto=tcp | dur=-s
2026-03-08 12:51:08,877 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9090 | proto=tcp | dur=-s
2026-03-08 12:51:08,879 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1086 | proto=tcp | dur=-s
